,Date,Timestamp,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity,Opyn Convexity
,25/03/2021,1616630400,1586365.6130149756,1586365.6130149756,415576.2924987338,1.8007067918958117,620628.6541608197,217157.94774064893,16.021715854299423,331617.2542796251,1362.71632935465,4.925583147319055,,415576.2924987338,1.8007067918958117,620628.6541608197,217157.94774064893,16.021715854299423,331617.2542796251,1362.71632935465,4.925583147319055,,262.49688729891903,1.801998,620234.180353,7975.7441528556055,1,6.30247407,3.682254,0.00016,,262.49688729891903,1.801998,620234.180353,7975.7441528556055,1,6.30247407,3.682254,0.00016,
,26/03/2021,1616716800,2046664.4594845101,2046664.4594845101,416352.87379432615,1.8130779789676796,1108765.9085716684,193133.5494291937,16.18336636956883,327009.11735587113,1379.9198061002892,5.0940830021463475,,416352.87379432615,1.8130779789676796,1108765.9085716684,193133.5494291937,16.18336636956883,327009.11735587113,1379.9198061002892,5.0940830021463475,,262.49688729891903,1.801998,1108628.180353,7187.7441528556055,1,6.30247407,3.682254,0.00016,,262.49688729891903,1.801998,1108628.180353,7187.7441528556055,1,6.30247407,3.682254,0.00016,
,27/03/2021,1616803200,875906.804851825,875906.804851825,442715.30404588557,1.8087867274950291,231657.43834619535,164873.41175958898,17.578328250996332,35152.132802155065,1483.7864571514772,5.344325870020103,,442715.30404588557,1.8087867274950291,231657.43834619535,164873.41175958898,17.578328250996332,35152.132802155065,1483.7864571514772,5.344325870020103,,262.49688729891903,1.801998,230472.646376,5622.541731640647,1,0.63290516,3.682254,0.00016,,262.49688729891903,1.801998,230472.646376,5622.541731640647,1,0.63290516,3.682254,0.00016,
,28/03/2021,1616889600,808022.240378015,808022.240378015,449910.0398222373,1.8062964954401062,194640.32587966206,160144.98816923698,17.01640027297916,1845.932304237239,1456.9204199123806,5.211085960470895,,449910.0398222373,1.8062964954401062,194640.32587966206,160144.98816923698,17.01640027297916,1845.932304237239,1456.9204199123806,5.211085960470895,,262.49688729891903,1.801998,194882.287144,5705.280577088443,1,0.03290516,3.682254,0.00016,,262.49688729891903,1.801998,194882.287144,5705.280577088443,1,0.03290516,3.682254,0.00016,
,29/03/2021,1616976000,793650.3814872798,793650.3814872798,437215.1936063665,1.806557524039555,194981.02722902427,158132.99370108335,16.38940260845702,1836.6665339859273,1461.0844501992717,5.220006487847454,,437215.1936063665,1.806557524039555,194981.02722902427,158132.99370108335,16.38940260845702,1836.6665339859273,1461.0844501992717,5.220006487847454,,259.49688729891903,1.801998,194882.287144,5681.840577088444,1,0.03290516,3.682254,0.00016,,259.49688729891903,1.801998,194882.287144,5681.840577088444,1,0.03290516,3.682254,0.00016,
,30/03/2021,1617062400,842543.6646555153,842543.6646555153,469861.22835369984,1.8076602269414026,195266.12445127347,173969.42240453194,17.692107541705216,1897.0143566369297,1524.7467237195074,5.628597885014431,,469861.22835369984,1.8076602269414026,195266.12445127347,173969.42240453194,17.692107541705216,1897.0143566369297,1524.7467237195074,5.628597885014431,,259.49688729891903,1.801998,194882.287144,5999.840577088444,1,0.03290516,3.682254,0.00016,,259.49688729891903,1.801998,194882.287144,5999.840577088444,1,0.03290516,3.682254,0.00016,
,31/03/2021,1617148800,846421.1786544936,846421.1786544936,477956.04723245004,1.8059435181946222,195277.66708213513,171460.07348766053,17.55599459001163,170.62114877296443,1531.720580413776,5.687184952988538,,477956.04723245004,1.8059435181946222,195277.66708213513,171460.07348766053,17.55599459001163,170.62114877296443,1531.720580413776,5.687184952988538,,259.49688729891903,1.801998,194882.287144,5999.840577088444,1,0.00290516,3.682254,0.00016,,259.49688729891903,1.801998,194882.287144,5999.840577088444,1,0.00290516,3.682254,0.00016,
,01/04/2021,1617235200,846839.6512470498,846839.6512470498,495858.82156979217,1.8060812168210272,179928.33543753938,169334.05610507916,17.64601009255684,170.88573061819127,1522.254035027711,5.8462776838949795,,495858.82156979217,1.8060812168210272,179928.33543753938,169334.05610507916,17.64601009255684,170.88573061819127,1522.254035027711,5.8462776838949795,,259.49688729891903,1.801998,179882.287144,5999.840577088444,1,0.00290516,3.682254,0.00016,,259.49688729891903,1.801998,179882.287144,5999.840577088444,1,0.00290516,3.682254,0.00016,
,02/04/2021,1617321600,865200.7686260253,865200.7686260253,511363.0293037695,1.7975013811007914,179760.3966106035,172318.02676856017,19.11193460639087,170.91146386810007,1561.6894783579025,5.805564878677288,,511363.0293037695,1.7975013811007914,179760.3966106035,172318.02676856017,19.11193460639087,170.91146386810007,1561.6894783579025,5.805564878677288,,259.49688729891903,1.801998,179882.287144,5999.840577088444,1,0.00290516,3.682254,0.00016,,259.49688729891903,1.801998,179882.287144,5999.840577088444,1,0.00290516,3.682254,0.00016,
,03/04/2021,1617408000,954517.080618358,954517.080618358,552998.7942581025,1.8030334181002923,207095.10763710242,192543.12524555807,21.5096416974602,172.56932836665743,1677.8869189144389,6.284555198121485,,552998.7942581025,1.8030334181002923,207095.10763710242,192543.12524555807,21.5096416974602,172.56932836665743,1677.8869189144389,6.284555198121485,,259.49688729891903,1.801998,206430.857769,6299.840577088444,1,0.00290516,3.682254,0.00016,,259.49688729891903,1.801998,206430.857769,6299.840577088444,1,0.00290516,3.682254,0.00016,
