,Date,Timestamp,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol
,,,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives
,,,optimism,ethereum-staking,Total,staking,optimism,ethereum-staking,Total,staking,optimism,ethereum-staking,Total,staking
,,,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens
,,,,,,,USDC,PERP,USDC,PERP,USDC,PERP,USDC,PERP
,14/06/2021,1623628800,,,8561337.5886,,,,8561337.5886,,,,8561337.5886,
,15/06/2021,1623715200,,,10278130.592126327,,,,10278130.592126327,,,,10279559.45089,
,16/06/2021,1623801600,,,10177349.716367008,,,,10177349.716367008,,,,10198685.366153,
,17/06/2021,1623888000,,,9943237.62864633,,,,9943237.62864633,,,,9844789.731333,
,18/06/2021,1623974400,,,10289858.842613,,,,10289858.842613,,,,10289858.842613,
,19/06/2021,1624060800,,,10141069.46152,,,,10141069.46152,,,,10141069.46152,
,20/06/2021,1624147200,,,9783552.431317,,,,9783552.431317,,,,9783552.431317,
,21/06/2021,1624233600,,,9527814.219112,,,,9527814.219112,,,,9527814.219112,
,22/06/2021,1624320000,,,9285780.40393,,,,9285780.40393,,,,9285780.40393,
,23/06/2021,1624406400,,,9055475.160507,,,,9055475.160507,,,,9055475.160507,
,24/06/2021,1624492800,,,9567220.64924,,,,9567220.64924,,,,9567220.64924,
,25/06/2021,1624579200,,,9466080.669526,,,,9466080.669526,,,,9466080.669526,
,26/06/2021,1624665600,,,8884396.102915,,,,8884396.102915,,,,8884396.102915,
,27/06/2021,1624752000,,,8959057.623693,,,,8959057.623693,,,,8959057.623693,
,28/06/2021,1624838400,,,9223635.38067,90769950.58628903,,,9223635.38067,90769950.58628903,,,9223635.38067,16384467.614853617
,29/06/2021,1624924800,,,10400802.722496,100472524.96151991,,,10400802.722496,100472524.96151991,,,10400802.722496,17174790.591712806
,30/06/2021,1625011200,,,9350324.31599,139154568.40189984,,,9350324.31599,139154568.40189984,,,9350324.31599,17200811.91618045
,01/07/2021,1625097600,,,9560657.612959,133383539.91782549,,,9560657.612959,133383539.91782549,,,9560657.612959,17855895.571328714
,02/07/2021,1625184000,,,9260063.08941046,162357002.85870922,,,9260063.08941046,162357002.85870922,,,9168379.296446,21561354.961315963
,03/07/2021,1625270400,,,8958638.942176,172358265.1603608,,,8958638.942176,172358265.1603608,,,8958638.942176,21762407.217217274
,04/07/2021,1625356800,,,9561636.756358,187566152.52809834,,,9561636.756358,187566152.52809834,,,9561636.756358,21784686.70477333
,05/07/2021,1625443200,,,9393919.500412,209960650.6165276,,,9393919.500412,209960650.6165276,,,9393919.500412,22723014.135987833
,06/07/2021,1625529600,,,9723470.974706,252466142.37464273,,,9723470.974706,252466142.37464273,,,9723470.974706,22826956.815067153
,07/07/2021,1625616000,,,9869046.987442,244548440.04298967,,,9869046.987442,244548440.04298967,,,9869046.987442,22812354.48162217
,08/07/2021,1625702400,,,9419207.660057,200911194.87377396,,,9419207.660057,200911194.87377396,,,9419207.660057,22804902.93686424
,09/07/2021,1625788800,,,9480632.108628,206002087.20521966,,,9480632.108628,206002087.20521966,,,9480632.108628,22838368.869758278
,10/07/2021,1625875200,,,9401825.409015,192519389.8860515,,,9401825.409015,192519389.8860515,,,9401825.409015,22973674.210746
,11/07/2021,1625961600,,,9521462.982631,203948906.0739969,,,9521462.982631,203948906.0739969,,,9521462.982631,22967219.152477127
,12/07/2021,1626048000,,,8967319.594221,187499422.63351506,,,8967319.594221,187499422.63351506,,,8967319.594221,22782432.883780688
,13/07/2021,1626134400,,,9323750.234225,171701294.9514118,,,9323750.234225,171701294.9514118,,,9323750.234225,22772055.03334374
,14/07/2021,1626220800,,,9242916.338281,184768236.60845572,,,9242916.338281,184768236.60845572,,,9242916.338281,22810893.408451322
,15/07/2021,1626307200,,,9547022.54286392,184784123.9687584,,,9547022.54286392,184784123.9687584,,,9452497.567192,23155905.259242907
,16/07/2021,1626393600,,,9844177.101465,173649329.06980294,,,9844177.101465,173649329.06980294,,,9844177.101465,23277389.95573766
,17/07/2021,1626480000,,,9879870.313687,191155832.12820908,,,9879870.313687,191155832.12820908,,,9879870.313687,23368683.63425539
,18/07/2021,1626566400,,,9852895.261893,180462502.0368002,,,9852895.261893,180462502.0368002,,,9852895.261893,23375971.766424898
,19/07/2021,1626652800,,,9915853.411322,153034877.72697338,,,9915853.411322,153034877.72697338,,,9915853.411322,23012763.56796592
,20/07/2021,1626739200,,,9118408.775928,161279856.3291875,,,9118408.775928,161279856.3291875,,,9118408.775928,23682798.286224306
,21/07/2021,1626825600,,,9638114.489629,180957065.51319107,,,9638114.489629,180957065.51319107,,,9638114.489629,23747646.392807227
,22/07/2021,1626912000,,,9478028.008492,185492938.28693143,,,9478028.008492,185492938.28693143,,,9478028.008492,23781145.93422198
,23/07/2021,1626998400,,,10452845.871795,215969413.54286355,,,10452845.871795,215969413.54286355,,,10452845.871795,23837683.614002597
,24/07/2021,1627084800,,,11068388.447234,217086679.63725373,,,11068388.447234,217086679.63725373,,,11068388.447234,23803363.99531291
,25/07/2021,1627171200,,,11132776.341969,215072732.9140749,,,11132776.341969,215072732.9140749,,,11132776.341969,23843983.69335642
,26/07/2021,1627257600,,,12224103.739988,246543061.67157984,,,12224103.739988,246543061.67157984,,,12224103.739988,23728879.852895074
,27/07/2021,1627344000,,,12062846.24382,229398672.20376438,,,12062846.24382,229398672.20376438,,,12062846.24382,23431937.916625578
,28/07/2021,1627430400,,,12344638.551599,254131298.77245805,,,12344638.551599,254131298.77245805,,,12344638.551599,23552483.66751233
,29/07/2021,1627516800,,,12860448.001447,318459544.3933182,,,12860448.001447,318459544.3933182,,,12860448.001447,23502549.401720896
,30/07/2021,1627603200,,,13218714.846789,334666763.4305973,,,13218714.846789,334666763.4305973,,,13218714.846789,23534934.137172807
,31/07/2021,1627689600,,,12911678.347718,351456626.3513784,,,12911678.347718,351456626.3513784,,,12911678.347718,23587693.04371667
,01/08/2021,1627776000,,,12956503.133938,337069256.9655235,,,12956503.133938,337069256.9655235,,,12956503.133938,23620830.90157838
,02/08/2021,1627862400,,,13057111.844918657,345871959.6005423,,,13057111.844918657,345871959.6005423,,,13056519.660855,23620830.90157838
,03/08/2021,1627948800,,,13057253.39951069,330663242.82333964,,,13057253.39951069,330663242.82333964,,,13061446.814697,23551434.46595872
,04/08/2021,1628035200,,,12844057.483160209,395391097.7325336,,,12844057.483160209,395391097.7325336,,,12815938.952733,23647020.565655824
,05/08/2021,1628121600,,,9689653.721993,408113189.34858304,,,9689653.721993,408113189.34858304,,,9689653.721993,25427613.043525424
