,Date,Timestamp,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol
,,,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives
,,,optimism,ethereum-staking,Total,staking,optimism,ethereum-staking,Total,staking,optimism,ethereum-staking,Total,staking
,,,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens
,,,,,,,USDC,PERP,USDC,PERP,USDC,PERP,USDC,PERP
,12/09/2022,1662940800,22126416.83188722,10988482.710464105,22126416.83188722,10988482.710464105,22126416.83188722,10988482.710464105,22126416.83188722,10988482.710464105,22132569.68626,14999314.373161996,22132569.68626,14999314.373161996
,13/09/2022,1663027200,22359826.405575,10582436.271068238,22359826.405575,10582436.271068238,22359826.405575,10582436.271068238,22359826.405575,10582436.271068238,22359826.405575,14999314.373161996,22359826.405575,14999314.373161996
,14/09/2022,1663113600,22326857.9892081,9693882.110602494,22326857.9892081,9693882.110602494,22326857.9892081,9693882.110602494,22326857.9892081,9693882.110602494,22352720.086348,14998904.714798398,22352720.086348,14998904.714798398
,15/09/2022,1663200000,21847558.833872,10363740.600158295,21847558.833872,10363740.600158295,21847558.833872,10363740.600158295,21847558.833872,10363740.600158295,21847558.833872,15659904.714798398,21847558.833872,15659904.714798398
,16/09/2022,1663286400,21895869.34241632,9600046.661392163,21895869.34241632,9600046.661392163,21895869.34241632,9600046.661392163,21895869.34241632,9600046.661392163,21920617.719822,15659969.334980063,21920617.719822,15659969.334980063
,17/09/2022,1663372800,21989965.229940347,9624053.394382687,21989965.229940347,9624053.394382687,21989965.229940347,9624053.394382687,21989965.229940347,9624053.394382687,21992736.314716,15659969.334980063,21992736.314716,15659969.334980063
,18/09/2022,1663459200,22021975.643468797,9648018.463661144,22021975.643468797,9648018.463661144,22021975.643468797,9648018.463661144,22021975.643468797,9648018.463661144,21999975.667801,15660969.334980063,21999975.667801,15660969.334980063
,19/09/2022,1663545600,21942064.132420607,8852406.397296835,21942064.132420607,8852406.397296835,21942064.132420607,8852406.397296835,21942064.132420607,8852406.397296835,21965259.446396,15656559.106097562,21965259.446396,15656559.106097562
,20/09/2022,1663632000,22028863.663509514,8847114.741550984,22028863.663509514,8847114.741550984,22028863.663509514,8847114.741550984,22028863.663509514,8847114.741550984,21984893.875758,15671480.191787563,21984893.875758,15671480.191787563
,21/09/2022,1663718400,22043157.561204467,9067441.624066235,22043157.561204467,9067441.624066235,22043157.561204467,9067441.624066235,22043157.561204467,9067441.624066235,22063478.024465,15673406.15785384,22063478.024465,15673406.15785384
,22/09/2022,1663804800,22126685.53200405,8773724.431683958,22126685.53200405,8773724.431683958,22126685.53200405,8773724.431683958,22126685.53200405,8773724.431683958,22104580.951053,15673046.535947775,22104580.951053,15673046.535947775
,23/09/2022,1663891200,22554083.60796991,9214399.384343874,22554083.60796991,9214399.384343874,22554083.60796991,9214399.384343874,22554083.60796991,9214399.384343874,22531552.055914,15672239.8465566,22531552.055914,15672239.8465566
,24/09/2022,1663977600,22497905.8100827,9104629.75535979,22497905.8100827,9104629.75535979,22497905.8100827,9104629.75535979,22497905.8100827,9104629.75535979,22475430.379703,15449067.342957431,22475430.379703,15449067.342957431
,25/09/2022,1664064000,22481327.934617955,9000327.41665771,22481327.934617955,9000327.41665771,22481327.934617955,9000327.41665771,22481327.934617955,9000327.41665771,22486882.19452,15444815.821536003,22486882.19452,15444815.821536003
,26/09/2022,1664150400,22567678.217448182,8844946.42209263,22567678.217448182,8844946.42209263,22567678.217448182,8844946.42209263,22567678.217448182,8844946.42209263,22500177.684395,15397564.96278559,22500177.684395,15397564.96278559
,27/09/2022,1664236800,22523629.89109733,8898077.694967784,22523629.89109733,8898077.694967784,22523629.89109733,8898077.694967784,22523629.89109733,8898077.694967784,22501128.762335,15387037.675204197,22501128.762335,15387037.675204197
,28/09/2022,1664323200,22539788.435366385,8777903.823945144,22539788.435366385,8777903.823945144,22539788.435366385,8777903.823945144,22539788.435366385,8777903.823945144,22494798.837691,15372430.586787665,22494798.837691,15372430.586787665
,29/09/2022,1664409600,22601419.53289698,8501219.317626158,22601419.53289698,8501219.317626158,22601419.53289698,8501219.317626158,22601419.53289698,8501219.317626158,22533818.078661,15371214.599521855,22533818.078661,15371214.599521855
,30/09/2022,1664496000,22555688.500427,8707636.983668804,22555688.500427,8707636.983668804,22555688.500427,8707636.983668804,22555688.500427,8707636.983668804,22555688.500427,15388595.88878467,22555688.500427,15388595.88878467
,01/10/2022,1664582400,22758358.338523805,8466024.67798749,22758358.338523805,8466024.67798749,22758358.338523805,8466024.67798749,22758358.338523805,8466024.67798749,22735622.715808,14727439.958784668,22735622.715808,14727439.958784668
,02/10/2022,1664668800,22782025.30108839,8279599.154441846,22782025.30108839,8279599.154441846,22782025.30108839,8279599.154441846,22782025.30108839,8279599.154441846,22736552.196695,14690950.175114393,22736552.196695,14690950.175114393
,03/10/2022,1664755200,22748007.41806041,8135889.392220887,22748007.41806041,8135889.392220887,22748007.41806041,8135889.392220887,22748007.41806041,8135889.392220887,22748530.634265,14660184.682314897,22748530.634265,14660184.682314897
,04/10/2022,1664841600,22813658.686206,7456435.386910927,22813658.686206,7456435.386910927,22813658.686206,7456435.386910927,22813658.686206,7456435.386910927,22813658.686206,13243994.967914898,22813658.686206,13243994.967914898
,05/10/2022,1664928000,22784108.263210807,7995083.251669997,22784108.263210807,7995083.251669997,22784108.263210807,7995083.251669997,22784108.263210807,7995083.251669997,22799543.554197,13784127.215514606,22799543.554197,13784127.215514606
,06/10/2022,1665014400,22817242.823189195,7604439.75456487,22817242.823189195,7604439.75456487,22817242.823189195,7604439.75456487,22817242.823189195,7604439.75456487,22835716.918176,12984127.215514606,22835716.918176,12984127.215514606
,07/10/2022,1665100800,22780090.427730154,6385895.448989019,22780090.427730154,6385895.448989019,22780090.427730154,6385895.448989019,22780090.427730154,6385895.448989019,22791958.854843,10948287.86443003,22791958.854843,10948287.86443003
