,Date,Timestamp,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives,MUX Derivatives
,23/12/2022,1671753600,938791.6256016986,9416565.06042439,11132423.118436601,367804.7087238983,409261.72368661466,92554.94028781679,94664.21119635874,,20622.65087282538,367737.636333594,174.61919925069617,166.29081924941985,38988.09814522917,46486.04591572578,277397.0476101352,0.08522151342792525,2507410.1544992495,1952218.6608664738,2693638.2762310198,1968351.4380844627,294946.5307431817,2019656.7375198165,92554.94028781679,77897.3354843613,2604337.22152284,2695084.0854629977,2305428.0969559853,367757.392790314,51723.968683724896,295339.2532929366,166.29081924941985,38988.09814522917,136727.5658288611,169364.99881081746,277397.0476101352,0.08522151342792525,31411.28956863552,781.8689048169999,161331.87688617996,37400.309178110496,151.7983572942016,,136727.5658288611,13904.9902572434,1480.9869224149998,1445.8092319779257,171254.90833050598,19.756456719999996,51723.968683724896,66.30499321002216,169364.99881081746,376.9598024185101,94569.64155480395,,20602.04882400138,366394.3626155932,174.44475449619998,808.5046906042963,2.3150028973225742,38.1846935401066,1130.4794506892788,0.007228287822555153,2504905.24925,1950268.3924739999,2212.6156367923604,117.15952207000001,294651.87886431743,120.21329806000001,376.9598024185101,63.986639957582796,2601735.486036804,2213.8032573213386,2303124.9719840013,366414.0993355932,4387.105062232816,295044.2090838528,808.5046906042963,2.3150028973225742,666200.0430183014,14352.966000916733,1130.4794506892788,0.007228287822555153,25.80194641747619,781.087817,161170.70617999998,2.22612805,151.646710583618,,666200.0430183014,0.82764794,1479.507415,1.187620528978089,171083.824506,19.73672,4387.105062232816,66.2387544555666,14352.966000916733
,24/12/2022,1671840000,937881.4174146487,9438986.90439347,11153592.685644161,367889.0310785843,408835.33275745856,92707.53329235155,94664.21119635874,,20602.04882400138,366104.62391822616,174.61919925069617,166.09435260960302,38932.02877505601,46929.770371146726,277600.40240869997,0.08507694767147415,2500415.3545160783,1966752.628585,2704454.620828542,1972501.6457735593,294862.6546902891,2023753.0460626897,92707.53329235155,78446.18324757152,2597351.266542836,2705912.848728278,2319520.1644580015,366124.38037494617,51776.14465585014,295255.377240044,166.09435260960302,38932.02877505601,137131.63577202035,168915.49465625788,277600.40240869997,0.08507694767147415,31516.4128764248,781.8689048169999,160946.29715,37361.01801802799,151.7983572942016,,137131.63577202035,13890.382271102399,1489.8319255819997,1458.2278997361561,171219.18989900002,19.756456719999996,51776.14465585014,66.30499321002216,168915.49465625788,377.0898242519892,94569.64155480395,,20602.04882400138,366750.0829122269,174.44475449619998,808.5046906042963,2.3150028973225742,38.42041652024325,1129.1913537613893,0.007228287822555153,2497917.437079,1966752.628585,2214.0801493504127,117.53002126999999,294568.08660368546,120.58379726,377.0898242519892,64.22224125452036,2594756.5100328038,2215.2739698793907,2319520.1644580015,366769.8196322269,4387.8088691398425,294960.41682322085,808.5046906042963,2.3150028973225742,667453.3877103032,14351.358934261503,1129.1913537613893,0.007228287822555153,25.80182473427711,781.087817,160946.29715,2.22612805,151.646710583618,,667453.3877103032,0.82764794,1488.343582,1.193820528978089,171219.18989900002,19.73672,4387.8088691398425,66.2387544555666,14351.358934261503
,25/12/2022,1671926400,937276.1248901876,9442973.184017561,11155061.059314948,367109.4928685288,407702.2575386697,92503.94914156967,94664.21119635874,,20622.65087282538,365792.65241151256,174.61919925069617,164.91151024724894,39126.25751814137,46805.60639616258,277421.181928586,0.0847155332803464,2535824.4056465314,1934033.713626014,2708148.776448635,1970068.5834480496,294897.704848332,2021362.73660104,92503.94914156967,78342.14469588011,2632760.317673289,2709601.4368404006,2286309.3156523635,365812.40886823257,51351.30272253624,295290.4273980869,164.91151024724894,39126.25751814137,136301.57894215808,168713.0051068833,277421.181928586,0.0847155332803464,31536.538299717537,781.8689048169999,160945.52455381397,37392.183810728,151.7983572942016,,136301.57894215808,13901.969342262399,1489.8319255819997,1452.6603917656828,170707.42659971,19.756456719999996,51351.30272253624,66.30499321002216,168713.0051068833,377.0900050612273,94569.64155480395,,20602.04882400138,366364.7636798234,174.44475449619998,808.5046906042963,2.3150028973225742,38.29431249992847,1130.7621338900544,0.007228287822555153,2533291.114532,1932101.612014,2215.6896048701874,117.28721051,294603.10174658545,120.3409865,377.0900050612273,64.09613723420559,2630130.187485804,2216.8781084551574,2284025.2903620014,366384.50039982336,4389.000232695405,294995.43196612084,808.5046906042963,2.3150028973225742,668744.8983262342,14419.914966400282,1130.7621338900544,0.007228287822555153,25.80182473427711,781.087817,160784.739814,2.22612805,151.646710583618,,668744.8983262342,0.82764794,1488.343582,1.188503584970205,170536.88971000002,19.73672,4389.000232695405,66.2387544555666,14419.914966400282
,26/12/2022,1672012800,933354.3511251592,9436016.590340775,11143737.186088149,367132.0084805579,407234.23614165635,91818.67935268609,94664.21119635874,,20643.252921649382,364383.9378236056,174.44475449619998,164.8322767875697,38840.40096037998,46815.33542797255,275849.1723462356,0.08406498737631644,2532303.8579538697,1940622.4037729222,2700496.737439396,1967990.4894280024,294603.10174658545,2019241.611628038,91818.67935268609,78250.12526103453,2629239.7699806276,2701941.9594997694,2293192.298012756,364403.6942803256,51035.50041028997,294995.43196612084,164.8322767875697,38840.40096037998,136149.02001344744,168614.6060346634,275849.1723462356,0.08406498737631644,31434.78983306197,781.8689048169999,161254.116895782,37360.5661228659,151.646710583618,,136149.02001344744,13890.556077169798,1489.8319255819997,1445.2220603736203,170672.524422402,19.756456719999996,51035.50041028997,66.2387544555666,168614.6060346634,378.1347473547734,94569.64155480395,,20602.04882400138,365104.6526991715,174.44475449619998,808.5046906042963,2.3150028973225742,38.41478930315797,1135.9297164644852,0.007228287822555153,2529774.08387,1936748.9059610001,2215.9194681453664,117.25976019000001,294603.10174658545,120.31348140000001,378.1347473547734,64.20891888029222,2626613.156823804,2217.1053594871246,2288615.0678770016,365124.3894191715,4376.9725909339595,294995.43196612084,808.5046906042963,2.3150028973225742,668882.4694711661,14436.182023515701,1135.9297164644852,0.007228287822555153,25.79412957713425,781.087817,160932.25239100002,2.22607327,151.646710583618,,668882.4694711661,0.82764794,1488.343582,1.1858913417579842,170331.86070100003,19.73672,4376.9725909339595,66.2387544555666,14436.182023515701
,27/12/2022,1672099200,934995.1894523021,9455178.261866951,11166155.831888575,368423.0876434959,407559.2929258252,92034.38165109273,94664.21119635874,,20622.65087282538,365168.81132097857,174.2786830899196,165.90192849323918,39085.83756755412,47058.50104426154,276020.5306166803,0.08457096752389529,2533080.9850976625,1938891.3753559347,2711988.0065216906,1976895.2552979412,294322.6395937227,2028347.984172261,92034.38165109273,78656.56771754677,2629821.096466367,2713440.7352742576,2291809.301483703,365188.54804097855,51143.80515054631,294714.5963148891,165.90192849323918,39085.83756755412,136924.6302855602,168801.8306476771,276020.5306166803,0.08457096752389529,31598.066673285226,781.8689048169999,161459.48795676697,37507.5314801513,151.50234291514238,,136924.6302855602,13945.1973941686,1294.031267529,1452.728752566948,170835.787298176,19.73672,51143.80515054631,66.17569516132491,168801.8306476771,378.1975822933747,94569.64155480395,,20602.04882400138,365648.8978057575,174.44475449619998,808.5046906042963,2.3150028973225742,38.41478930315797,1134.0202572583412,0.007228287822555153,2530550.434663,1936954.420935,2213.849688183517,117.32880069000001,294603.10174658545,120.38252190000001,378.1975822933747,64.20891888029222,2627193.902563804,2215.0355795252754,2289519.7817020016,365668.63452575746,4375.0047177541755,294995.43196612084,808.5046906042963,2.3150028973225742,666750.8937215938,14402.88657403388,1134.0202572583412,0.007228287822555153,25.79412957713425,781.087817,161298.189767,2.22607327,151.646710583618,,666750.8937215938,0.82764794,1292.738529,1.1858913417579842,170665.122176,19.73672,4375.0047177541755,66.2387544555666,14402.88657403388
,28/12/2022,1672185600,937392.9252936887,9356230.193750553,11065082.649854012,365372.1740357609,406087.3567740088,93024.94010190292,94528.78746965228,,20587.99822670341,366325.0748206503,174.44475449619998,163.571009470227,38578.851933040474,46473.8032998145,277535.36939612235,0.0842818360109931,2514625.5148193054,1896842.9229882376,2695451.1106102793,1954707.5435861468,294603.10174658545,2005553.1316094946,93024.94010190292,77679.28332093573,2611257.219781976,2696885.7900966248,2248580.9622430108,366344.81154065026,50312.86830558429,294995.43196612084,163.571009470227,38578.851933040474,135836.85000991492,168333.4842573286,277535.36939612235,0.0842818360109931,31205.480021121242,810.737427063056,160302.51627446825,37064.943592609896,151.646710583618,,135836.85000991492,13780.644430737799,1292.180065955472,1434.6794863453915,170847.52475360164,19.73672,50312.86830558429,66.2387544555666,168333.4842573286,378.0886851808768,94569.64155480395,,20602.04882400138,367160.2233101248,174.44475449619998,808.5046906042963,2.3150028973225742,38.41476892668521,1127.9174567021148,0.007228287822555153,2515712.302534,1898137.4527309998,2228.032229238363,117.39724364,294603.10174658545,120.45096485,378.0886851808768,64.20889850381946,2612385.770434804,2229.218120580121,2250115.541042001,367179.9600301248,4337.316233240025,294995.43196612084,808.5046906042963,2.3150028973225742,670819.135430753,14499.008118632953,1127.9174567021148,0.007228287822555153,25.79412957713425,811.087817,160411.917202,2.22607327,151.646710583618,,670819.135430753,0.82764794,1292.738529,1.1858913417579842,170964.122285,19.73672,4337.316233240025,66.2387544555666,14499.008118632953
,29/12/2022,1672272000,937002.3369229565,9316145.052831031,11012724.46059381,360509.416779498,399067.6540603242,97511.9889223112,94569.64155480395,,20608.24807883888,367253.04088904546,174.61919925069617,159.79521587558884,38326.74811752205,45698.13255502374,272700.04165030987,0.08073997497794107,2619854.392187,1799345.589393,2655634.430968593,1945468.1537874322,295842.4864950057,1995948.0894450592,97511.9889223112,76473.99797811257,2716504.004658804,2657044.8615703457,2147521.4187048385,367272.79734576546,46971.188241682714,296233.72315636964,159.79521587558884,38326.74811752205,133158.21110224514,166897.5137445923,272700.04165030987,0.08073997497794107,30775.865423088842,797.429418,158829.272916,36798.3254512608,150.3124689032146,,133158.21110224514,13681.610206366198,1282.541499,1410.4306017529627,168738.308317,19.756456719999996,46971.188241682714,66.30499321002216,166897.5137445923,398.72419415403664,94569.64155480395,,20608.24807883888,366219.05403577234,174.44475449619998,804.1467429350163,2.3150028973225742,38.298482710523494,1115.337593661799,0.007228287822555153,2619854.392187,1799345.589393,2225.6220036444493,117.68164002,295546.9395554503,120.73517837,398.72419415403664,64.09097977565774,2716504.004658804,2226.804050896612,2147521.4187048385,366238.7907557723,4193.856093007385,295937.78537099867,804.1467429350163,2.3150028973225742,670666.8031702735,14914.880584860795,1115.337593661799,0.007228287822555153,25.792497065134253,797.429418,158829.272916,2.22593584,150.162306596618,,670666.8031702735,0.82760251,1282.541499,1.1820472521626224,168738.308317,19.73672,4193.856093007385,66.2387544555666,14914.880584860795
,30/12/2022,1672358400,940752.8651081595,9331977.123935947,11032317.705706744,363233.392906374,396354.32375626307,98261.58382241183,94674.22119635875,,20608.24807883888,368128.72889603145,174.44475449619998,162.391805708526,38578.342632403066,45975.030585020824,274189.79411485547,0.07922203453520449,2666034.0477260486,1752589.610687,2670211.4665976027,1947595.059369845,295546.9395554503,1998430.6468146886,98261.58382241183,76937.37576189058,2762790.3198103243,2671930.1640585433,2101179.8758978387,368148.48535275145,45887.67828057698,295937.78537099867,162.391805708526,38578.342632403066,134511.90177181442,165371.28098990265,274189.79411485547,0.07922203453520449,30962.345176869763,798.2268474179999,159854.590242,36956.1665616752,150.162306596618,,134511.90177181442,13879.420883168399,1283.824040499,1718.697460940476,168127.42689,19.756456719999996,45887.67828057698,66.2387544555666,165371.28098990265,398.7241674339062,94579.64155480395,,20608.24807883888,367011.6435765273,174.44475449619998,804.1467429350163,2.3150028973225742,38.298482710523494,1112.106242607404,0.007228287822555153,2663370.677049,1752589.610687,2224.36062326947,117.30712484,295546.9395554503,120.36904296,398.7241674339062,64.09097977565774,2760030.289520804,2225.792346188517,2101179.8758978387,367031.3802965273,4198.3237219192115,295937.78537099867,804.1467429350163,2.3150028973225742,666735.5736234711,15074.866088414097,1112.106242607404,0.007228287822555153,25.792497065134253,797.429418,159854.590242,2.22593584,150.162306596618,,666735.5736234711,0.83598228,1282.541499,1.4317229190467462,168127.42689,19.73672,4198.3237219192115,66.2387544555666,15074.866088414097
,31/12/2022,1672444800,937292.4933261293,9336188.056000346,11034866.352431558,366181.14829250646,395204.65481257555,98127.44557852374,94579.64155480395,,20608.24807883888,365808.1421621836,174.37898882375492,160.04128477892695,38452.267574614874,45888.476014095046,273493.7735902608,0.07849920575294896,2654995.295293,1755272.799816,2687390.1755433055,1943094.266988801,295435.5183592379,1993805.5711771538,98127.44557852374,76792.69470131997,2751654.907764804,2689104.812175719,2108325.031024839,365827.8986189036,45830.17491247339,295826.2168259138,160.04128477892695,38452.267574614874,133365.79157194495,164099.64713110024,273493.7735902608,0.07849920575294896,30904.21868722493,797.429418,164097.787094,36865.815825929596,150.10569540703108,,133365.79157194495,13845.488362423199,1282.541499,1714.6366324135297,168346.19603599998,19.756456719999996,45830.17491247339,66.21378244513686,164099.64713110024,399.72074454569935,94579.64155480395,,20608.24807883888,366599.64827648236,174.44475449619998,804.1467429350163,2.3150028973225742,38.298482710523494,1113.8461089446153,0.007228287822555153,2654995.295293,1755272.799816,2242.893534813889,117.32286598,295546.9395554503,120.3847841,399.72074454569935,64.09111711205325,2751654.907764804,2244.324569076198,2108325.031024839,366619.38499648235,4208.464179290486,295937.78537099867,804.1467429350163,2.3150028973225742,670533.6563108421,15124.391440654399,1113.8461089446153,0.007228287822555153,25.79263440152976,797.429418,164097.787094,2.22593584,150.162306596618,,670533.6563108421,0.83598228,1282.541499,1.4310342623091101,168346.19603599998,19.73672,4208.464179290486,66.2387544555666,15124.391440654399
,01/01/2023,1672531200,940496.3268677052,9331714.643219594,11034605.87589363,366601.3845070131,395793.52129931806,98489.1101611694,94674.22119635875,,20623.43430672949,368204.22993109736,174.61919925069617,160.29941588340907,38306.09829167793,45787.36801973925,274076.8678465932,0.07849920575294896,2714843.563886454,1685475.589040243,2690035.1783530014,1945517.8254448897,295842.4864950057,1996143.8245944192,98489.1101611694,76623.49415214415,2811618.9782608966,2691746.0370549625,2039342.8250938286,368223.98638781736,45730.64518632955,296233.72315636964,160.29941588340907,38306.09829167793,133618.83951541872,164291.06827691407,274076.8678465932,0.07849920575294896,30836.12613240489,817.369137585,164374.935999274,36803.801253427206,150.3124689032146,,133618.83951541872,13822.197896102402,1283.824040499,1710.8587019610334,168868.865747582,19.756456719999996,45730.64518632955,66.30499321002216,164291.06827691407,399.74474454569935,94579.64155480395,,20602.83147525424,367022.3443110614,174.44475449619998,804.1467429350163,2.3150028973225742,38.298482710523494,1112.009039017297,0.007228287822555153,2712131.4324539998,1683791.797243,2250.05870012965,117.66713512,295546.9395554503,120.72905324,399.74474454569935,64.09111711205325,2808810.1680928036,2251.489734391959,2037305.5195742543,367042.08103106136,4207.051075099315,295937.78537099867,804.1467429350163,2.3150028973225742,670558.5000648318,15128.091001557465,1112.009039017297,0.007228287822555153,25.79263440152976,816.552585,164210.725274,2.22593584,150.162306596618,,670558.5000648318,0.83598228,1282.541499,1.4310342623091101,168700.16558200002,19.73672,4207.051075099315,66.2387544555666,15128.091001557465
,02/01/2023,1672617600,934542.3127488836,9332887.952873074,11029362.122690767,366980.64388517354,394951.2131836367,97459.76880535058,94579.64155480395,,20600.812397769663,365153.2252686198,174.32211983378915,160.7802956356842,38420.62148500848,45869.70975756689,272123.3524205231,0.07864377150940008,2730191.8057919997,1671891.7836317816,2693837.0184502588,1941628.1749420888,295339.1700569428,1992280.9046368059,97459.76880535058,76761.29005393507,2826870.5414308035,2695550.953875884,2025198.9902102961,365172.9817253398,45480.02150740389,295729.7411078829,160.7802956356842,38420.62148500848,134104.58796507673,164047.50852704805,272123.3524205231,0.07864377150940008,30891.580296368178,816.552585,164194.63262292315,36823.2336733104,150.05674249508058,,134104.58796507673,13829.496021406801,1282.541499,1713.9354256249983,168511.76155782177,19.756456719999996,45480.02150740389,66.19218861118435,164047.50852704805,399.78574454569934,94579.64155480395,,20602.83147525424,365996.46674029663,174.44475449619998,804.1467429350163,2.3150028973225742,38.298482710523494,1116.3576978196716,0.007228287822555153,2730191.8057919997,1672055.645085,2249.1938802613854,117.36991327,295546.9395554503,120.43183139,399.78574454569934,64.09111711205325,2826870.5414308035,2250.6249145236943,2025397.4791632541,366016.2034602966,4207.217530749666,295937.78537099867,804.1467429350163,2.3150028973225742,670727.5117164572,15147.507712562146,1116.3576978196716,0.007228287822555153,25.79263440152976,816.552585,164210.725274,2.22593584,150.162306596618,,670727.5117164572,0.83598228,1282.541499,1.4310342623091101,168528.277329,19.73672,4207.217530749666,66.2387544555666,15147.507712562146
,03/01/2023,1672704000,939147.1585308497,9414493.74592761,11133694.596506122,378711.17792175803,401342.5141259053,155419.97371988712,94551.19890544596,,20601.50206275424,366003.6853447986,174.44475449619998,170.42121093673214,38721.01626096505,46583.59347529104,216921.2421285826,0.08066769209971551,2753930.6193150003,1664798.70616,2740867.7060789065,1959349.7748182537,295546.9395554503,2010390.8475881305,155419.97371988712,77955.66123401551,2850580.912304446,2742382.404848499,2020607.4103517542,366023.4418015186,47043.90961609049,295937.78537099867,170.42121093673214,38721.01626096505,145060.8903955393,166478.59900706727,216921.2421285826,0.08066769209971551,31372.06775872448,816.552585,164205.95576,37105.5491158976,150.162306596618,,145060.8903955393,13935.523653979199,1282.541499,1514.6987695928372,171001.246369,19.756456719999996,47043.90961609049,66.2387544555666,166478.59900706727,631.7114730719308,94551.19890544596,,20601.50206275424,367064.75721907924,174.44475449619998,804.1467429350163,2.3150028973225742,38.298482710523494,881.7219824753378,0.007228287822555153,2753930.6193150003,1664798.70616,2253.3915188138967,117.54001735,295546.9395554503,120.60193547,631.7114730719308,64.09088095666104,2850580.912304446,2254.636821297263,2020607.4103517542,367084.4939390792,4207.863114140473,295937.78537099867,804.1467429350163,2.3150028973225742,670724.2649198441,14930.816054445495,881.7219824753378,0.007228287822555153,25.792398246137545,816.552585,164205.95576,2.22593584,150.162306596618,,670724.2649198441,0.83598228,1282.541499,1.2453024833662223,171001.246369,19.73672,4207.863114140473,66.2387544555666,14930.816054445495
,04/01/2023,1672790400,939328.862746699,9411191.666212834,11128841.752411561,372388.246300086,405932.9771519409,155260.64096375005,94551.19890544596,,20601.50206275424,366775.1401321003,174.4386489297926,170.5514827090876,38561.92926186105,46472.527875430525,216760.8512280854,0.08218563254245209,2746622.959484,1664615.817539,2738738.796933387,1965603.2926838007,295610.799572647,2016672.8845380957,155260.64096375005,77769.79767924121,2843273.2524734465,2740249.884325778,2025072.7218447542,366794.8768521003,47882.83894569852,296001.6317085919,170.5514827090876,38561.92926186105,135767.77798880244,168602.0309330142,216760.8512280854,0.08218563254245209,31297.269803810683,816.552585,167235.971944,37120.51692755699,150.15705091588714,,135767.77798880244,13949.074926737998,1282.541499,1511.0873923910751,172619.430299,19.73672,47882.83894569852,66.23643609916066,168602.0309330142,631.7571653798424,94551.19890544596,,20601.50206275424,367116.50398390274,174.44475449619998,804.1467429350163,2.3150028973225742,38.298482710523494,882.0021615726132,0.007228287822555153,2746622.959484,1664615.817539,2257.0224874392316,117.80060906,295621.146312768,120.86126175999999,631.7571653798424,64.09088095666104,2843273.2524734465,2258.267789922598,2025072.7218447542,367136.24070390273,4207.630838813578,296011.99212831643,804.1467429350163,2.3150028973225742,639304.3113312855,14789.651836229315,882.0021615726132,0.007228287822555153,25.792398246137545,816.552585,167235.971944,2.22467042,150.162306596618,,639304.3113312855,0.83598228,1282.541499,1.2453024833662223,172619.430299,19.73672,4207.630838813578,66.2387544555666,14789.651836229315
,05/01/2023,1672876800,975181.2505255438,9490609.486829745,11259340.220738592,373014.34526259487,420535.13812070986,163067.83020743274,94643.47021684851,,20569.909503433133,386626.86356766534,174.44475449619998,176.71848408065625,39124.544415997356,48036.069979560685,222761.3121505951,0.0872454340182407,2769088.9893436767,1641315.8332530959,2803907.1675449116,1980725.0047581824,295572.49192987644,2032282.300971195,163067.83020743274,80409.99234900746,2865824.9723008433,2805212.502777484,2006489.663216328,386646.62002438534,50615.80932387001,295963.3377454248,176.71848408065625,39124.544415997356,137656.01999094244,173108.5095355717,222761.3121505951,0.0872454340182407,32373.92236944678,808.6886998189999,164524.23020533498,37501.321690455,150.162306596618,,137656.01999094244,14055.974522557499,1283.824040499,1305.3352325721278,180079.69025446396,19.756456719999996,50615.80932387001,66.2387544555666,173108.5095355717,630.2381935821007,94548.92129555297,,20549.360143289847,386636.2152214837,174.44475449619998,804.1467429350163,2.3150028973225742,38.27026400959279,860.9132836737975,0.007228287822555153,2766322.666677,1639676.157096,2233.8685826295123,117.47549811,295572.49192987644,120.53332746000001,630.2381935821007,64.06251880129341,2862962.010290553,2234.9085412271415,2004485.1780382898,386655.9519414837,4200.482101565975,295963.3377454248,804.1467429350163,2.3150028973225742,626423.8744701566,14377.783184017584,860.9132836737975,0.007228287822555153,25.792254791700614,807.880819,164359.87033499999,2.22417874,150.162306596618,,626423.8744701566,0.83365061,1282.541499,1.039958597629127,179899.790464,19.73672,4200.482101565975,66.2387544555666,14377.783184017584
,06/01/2023,1672963200,973005.8641774016,9528603.476368394,11289321.56497868,370616.6008209739,417095.62361191015,162387.14658068356,94548.92129555297,,20569.909503433133,385787.5374458162,174.61919925069617,175.8290977829701,39100.283185633416,48033.7737637201,222227.7587394495,0.08536607918437636,2756445.444042,1651736.3361188686,2847225.7886231747,1977212.4033908166,295983.5041935335,2028776.3350935185,162387.14658068356,80406.14859787936,2853084.787655553,2848531.061458231,2015070.0025609047,385807.2939025362,49524.14176104841,296374.7408548974,175.8290977829701,39100.283185633416,136773.36605778267,171082.5840666993,222227.7587394495,0.08536607918437636,32372.374834159273,807.880819,163006.51848280797,37506.1481583208,150.3124689032146,,136773.36605778267,14057.783544381198,1282.541499,1305.2728350562697,179757.23845579498,19.756456719999996,49524.14176104841,66.30499321002216,171082.5840666993,630.2380912081175,94548.92129555297,,20549.360143289847,386511.4232121282,174.44475449619998,804.1467429350163,2.3150028973225742,38.27026400959279,862.584942512322,0.007228287822555153,2756445.444042,1650086.249869,2268.488900362654,117.25207754,295687.81637715636,120.30990689000001,630.2380912081175,64.06251880129341,2853084.787655553,2269.5288589602833,2013056.9456152897,386531.1599321282,4200.520929690281,296078.6621927048,804.1467429350163,2.3150028973225742,626705.0616186741,14535.478680263323,862.584942512322,0.007228287822555153,25.792254791700614,807.880819,162843.67480799998,2.22417874,150.162306596618,,626705.0616186741,0.83365061,1282.541499,1.039958597629127,179577.66079499997,19.73672,4200.520929690281,66.2387544555666,14535.478680263323
,07/01/2023,1673049600,977843.4752487163,9551189.155750416,11322981.817425877,374941.6646567416,419007.52177000145,164072.74494529743,94808.68129555297,,20549.360143289847,387831.4217074523,174.41300555088168,179.8731517531903,39296.89638170302,48587.54448393891,222342.45512951285,0.0850046647932486,2766642.038686,1649083.845602,2844495.746992714,1995308.8932805045,295658.63118919806,2047211.2961139581,164072.74494529743,81333.13324493408,2863581.3570705527,2845914.6417294266,2014578.9620162898,387851.1781641723,49896.22474310249,296049.405870808,179.8731517531903,39296.89638170302,139325.88634963823,171347.67751006185,222342.45512951285,0.0850046647932486,32745.588760995182,848.09559,164119.616476,37752.342503051404,150.13497705681743,,139325.88634963823,14150.0603304021,1282.541499,1418.8947367127587,180826.139795,19.756456719999996,49896.22474310249,66.2266990022557,171347.67751006185,630.3701588493063,94808.68129555297,,20549.360143289847,388786.23088253767,174.44475449619998,804.1467429350163,2.3150028973225742,38.27026400959279,853.8496740764703,0.007228287822555153,2766642.038686,1649083.845602,2240.483736476117,117.55359604,295712.45085525373,120.61142539000001,630.3701588493063,64.06251880129341,2863581.3570705527,2241.6013372265265,2014578.9620162898,388805.96760253765,4228.493622296821,296103.29667080217,804.1467429350163,2.3150028973225742,621130.9631743489,14520.989619496766,853.8496740764703,0.007228287822555153,25.792254791700614,848.09559,164119.616476,2.22417874,150.162306596618,,621130.9631743489,0.83365061,1282.541499,1.117600750409785,180826.139795,19.73672,4228.493622296821,66.2387544555666,14520.989619496766
,08/01/2023,1673136000,979056.2854280771,9539394.567981368,11303423.524355298,376499.00980224897,408473.6611436042,164380.15740225304,94905.45596351397,,20569.909503433133,387807.87323598133,174.61919925069617,180.34518589129317,39274.903854178454,48302.04831442735,223460.8884873118,0.0842818360109931,2723023.716942529,1692388.9495663147,2842675.8698843108,1985263.9712686948,296042.06031951826,2037023.7569412643,164380.15740225304,80855.22685467645,2820061.940632132,2844086.4273194256,2051218.7949936576,387827.62969270133,49301.28251275379,296433.2969808822,180.34518589129317,39274.903854178454,138985.36332136785,170333.425894966,223460.8884873118,0.0842818360109931,32553.1785402491,848.94368559,166312.60497952098,37648.606806617805,150.3124689032146,,138985.36332136785,14111.1788659517,1283.824040499,1410.557435114702,171947.33094438896,19.756456719999996,49301.28251275379,66.30499321002216,170333.425894966,630.1953588493063,94810.64531819579,,20549.360143289847,388112.94169582706,174.44475449619998,804.1467429350163,2.3150028973225742,38.27026400959279,856.3360355903883,0.007228287822555153,2720303.4135290002,1690698.251315,2252.2845268588108,117.28407218000001,295746.3140055128,120.34190153000002,630.1953588493063,64.06251880129341,2817244.695936196,2253.4021276092203,2049169.62536829,388132.67841582705,4228.240352723309,296137.15982106124,804.1467429350163,2.3150028973225742,621438.5954964112,14620.894926606523,856.3360355903883,0.007228287822555153,25.792254791700614,848.09559,166146.458521,2.22417874,150.162306596618,,621438.5954964112,0.83365061,1282.541499,1.117600750409785,171775.55538900002,19.73672,4228.240352723309,66.2387544555666,14620.894926606523
