,Date,Timestamp,MCDEX,MCDEX,MCDEX,MCDEX,MCDEX,MCDEX,MCDEX,MCDEX,MCDEX,MCDEX,MCDEX,MCDEX,MCDEX,MCDEX,MCDEX,MCDEX,MCDEX,MCDEX,MCDEX,MCDEX,MCDEX,MCDEX,MCDEX,MCDEX
,,,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes,Dexes
,,,bsc,ethereum,arbitrum,Total,bsc,ethereum,arbitrum,Total,Total,Total,Total,Total,Total,Total,bsc,ethereum,arbitrum,Total,Total,Total,Total,Total,Total,Total
,,,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,,USDT,WETH,USDT,WETH,COMP,ethereum,LINK,LEND,SNX,USDT,USDT,WETH,USDT,WETH,COMP,ethereum,LINK,LEND,SNX,USDT
,26/12/2021,1640476800,17652106.85401931,2809994.6459173867,7142962.58632278,27605064.086259477,17652106.85401931,2809994.6459173867,7142962.58632278,2809994.6459173867,,,,,,24795069.44034209,17477333.518831,683.6204818724393,7072240.184478,683.6204818724393,,,,,,24549573.703309
,27/12/2021,1640563200,17475794.997030165,2776975.776642948,7071987.68577404,27324758.459447153,17475794.997030165,2776975.776642948,7071987.68577404,2776975.776642948,,,,,,24547782.682804205,17495022.026237,683.6204818724393,7079768.351192,683.6204818724393,,,,,,24574790.377429
,28/12/2021,1640649600,17635342.274088,2751039.2155607077,7080693.350934,27467074.840582706,17635342.274088,2751039.2155607077,7080693.350934,2751039.2155607077,,,,,,24716035.625021998,17635342.274088,683.6204818724393,7080693.350934,683.6204818724393,,,,,,24716035.625021998
,29/12/2021,1640736000,17733120.188327,2602467.9762353706,6182906.628191,26518494.792753372,17733120.188327,2602467.9762353706,6182906.628191,2602467.9762353706,,,,,,23916026.816518,17733120.188327,683.6204818724393,6182906.628191,683.6204818724393,,,,,,23916026.816518
,30/12/2021,1640822400,16726889.510302,2505407.5402191216,6124118.739605,25356415.790126123,16726889.510302,2505407.5402191216,6124118.739605,2505407.5402191216,,,,,,22851008.249907,16726889.510302,683.6204818724393,6124118.739605,683.6204818724393,,,,,,22851008.249907
,31/12/2021,1640908800,16499089.554746,2539219.4092525323,6068129.467531,25106438.431529533,16499089.554746,2539219.4092525323,6068129.467531,2539219.4092525323,,,,,,22567219.022277,16499089.554746,683.6204818724393,6068129.467531,683.6204818724393,,,,,,22567219.022277
,01/01/2022,1640995200,16690997.16568101,2542945.1408787374,6128223.835991669,25362166.142551415,16690997.16568101,2542945.1408787374,6128223.835991669,2542945.1408787374,,,,,,22819221.001672678,16525739.768001,683.6204818724393,6067548.352467,683.6204818724393,,,,,,22593288.120467998
,02/01/2022,1641081600,16497088.883847,2556870.4900944787,6026331.530492,25080290.904433478,16497088.883847,2556870.4900944787,6026331.530492,2556870.4900944787,,,,,,22523420.414339,16497088.883847,683.6204818724393,6026331.530492,683.6204818724393,,,,,,22523420.414339
,03/01/2022,1641168000,16564712.04399,2603295.157018436,6026194.599844,25194201.800852433,16564712.04399,2603295.157018436,6026194.599844,2603295.157018436,,,,,,22590906.643834,16564712.04399,683.6204818724393,6026194.599844,683.6204818724393,,,,,,22590906.643834
,16/02/2022,1644969600,8020356.216698824,2100676.8701313627,5750903.008913062,15871936.095743248,8020356.216698824,2100676.8701313627,5750903.008913062,2100676.8701313627,,,,,,13771259.225611886,8012343.872826,683.6204818724393,5745157.851062,683.6204818724393,,,,,,13757501.723887999
,17/02/2022,1645056000,8003745.683733799,2121028.251876705,5754359.447448611,15879133.383059114,8003745.683733799,2121028.251876705,5754359.447448611,2121028.251876705,,,,,,13758105.13118241,7995749.9338,683.6204818724393,5748610.836612,683.6204818724393,,,,,,13744360.770412
,19/02/2022,1645228800,7980817.935846054,1923208.9930372774,5640749.163429126,15544776.092312457,7980817.935846054,1923208.9930372774,5640749.163429126,1923208.9930372774,,,,,,13621567.09927518,7964888.159527,683.6204818724393,5629490.183063,683.6204818724393,,,,,,13594378.34259
,21/02/2022,1645401600,7958290.374199146,1784235.7852774293,5632268.581163214,15374794.74063979,7958290.374199146,1784235.7852774293,5632268.581163214,1784235.7852774293,,,,,,13590558.95536236,7942405.563073,683.6204818724393,5621026.528107,683.6204818724393,,,,,,13563432.09118
,22/02/2022,1645488000,7962201.236173183,1734290.4728718288,5455085.613674697,15151577.322719708,7962201.236173183,1734290.4728718288,5455085.613674697,1734290.4728718288,,,,,,13417286.84984788,7954246.989184,683.6204818724393,5449635.977697,683.6204818724393,,,,,,13403882.966881
,23/02/2022,1645574400,7953799.936378556,1791837.6450358506,5446830.423524805,15192468.004939212,7953799.936378556,1791837.6450358506,5446830.423524805,1791837.6450358506,,,,,,13400630.359903362,7957874.368055,683.6204818724393,5449620.629287,683.6204818724393,,,,,,13407494.997342
,24/02/2022,1645660800,7957442.28061063,1759351.9997372723,5448628.79833247,15165423.078680372,7957442.28061063,1759351.9997372723,5448628.79833247,1759351.9997372723,,,,,,13406071.0789431,7958890.798736,683.6204818724393,5449620.629287,683.6204818724393,,,,,,13408511.428023
,26/02/2022,1645833600,7707718.967820871,1933292.3951448959,5265891.641602591,14906903.004568359,7707718.967820871,1933292.3951448959,5265891.641602591,1933292.3951448959,,,,,,12973610.609423462,7700018.948872,683.6204818724393,5260631.010592,683.6204818724393,,,,,,12960649.959463999
,27/02/2022,1645920000,7763787.363776424,1854334.2294886291,5294437.387850106,14912558.981115159,7763787.363776424,1854334.2294886291,5294437.387850106,1854334.2294886291,,,,,,13058224.751626529,7748290.782212,683.6204818724393,5283869.648553,683.6204818724393,,,,,,13032160.430765
,28/02/2022,1646006400,7773590.530716538,1795932.5317222667,5295959.238072283,14865482.300511088,7773590.530716538,1795932.5317222667,5295959.238072283,1795932.5317222667,,,,,,13069549.768788822,7750339.51218,683.6204818724393,5280118.881428,683.6204818724393,,,,,,13030458.393608
,03/03/2022,1646265600,7671593.14310968,1918403.141049714,5777519.414036223,15367515.698195618,7671593.14310968,1918403.141049714,5777519.414036223,1918403.141049714,,,,,,13449112.557145903,7676529.151354,683.6204818724393,5781236.749266,683.6204818724393,,,,,,13457765.90062
,04/03/2022,1646352000,7695691.01539437,1789773.1111805958,5570798.41411701,15056262.540691976,7695691.01539437,1789773.1111805958,5570798.41411701,1789773.1111805958,,,,,,13266489.42951138,7680330.354685,683.6204818724393,5559679.056005,683.6204818724393,,,,,,13240009.41069
,05/03/2022,1646438400,7687925.128366482,1828835.185514787,5565504.277214882,15082264.591096152,7687925.128366482,1828835.185514787,5565504.277214882,1828835.185514787,,,,,,13253429.405581364,7680244.883483,683.6204818724393,5559944.332882,683.6204818724393,,,,,,13240189.216365
,06/03/2022,1646524800,7702423.569528175,1789930.3438914265,5540574.384488562,15032928.297908165,7702423.569528175,1789930.3438914265,5540574.384488562,1789930.3438914265,,,,,,13242997.954016738,7687049.470587,683.6204818724393,5529515.353781,683.6204818724393,,,,,,13216564.824368
,07/03/2022,1646611200,7692054.808946507,1730421.1809444309,5538769.455898678,14961245.445789617,7692054.808946507,1730421.1809444309,5538769.455898678,1730421.1809444309,,,,,,13230824.264845185,7684370.438508,683.6204818724393,5533236.219679,683.6204818724393,,,,,,13217606.658187
,08/03/2022,1646697600,7682436.94376,1725683.6910050546,5423699.158359,14831819.793124055,7682436.94376,1725683.6910050546,5423699.158359,1725683.6910050546,,,,,,13106136.102119,7682436.94376,683.6204818724393,5423699.158359,683.6204818724393,,,,,,13106136.102119
,09/03/2022,1646784000,7596681.683581506,1858107.8145485648,5479747.302119283,14934536.800249355,7596681.683581506,1858107.8145485648,5479747.302119283,1858107.8145485648,,,,,,13076428.98570079,7573959.804169,683.6204818724393,5463357.230428,683.6204818724393,,,,,,13037317.034597
,10/03/2022,1646870400,7606379.765573588,1824241.2558766042,5555226.09850308,14985847.119953273,7606379.765573588,1824241.2558766042,5555226.09850308,1824241.2558766042,,,,,,13161605.864076668,7598780.984589,683.6204818724393,5549676.422081,683.6204818724393,,,,,,13148457.40667
,12/03/2022,1647043200,7747123.770361975,1768977.3761220363,5456055.441694857,14972156.588178867,7747123.770361975,1768977.3761220363,5456055.441694857,1768977.3761220363,,,,,,13203179.21205683,7739384.385976,683.6204818724393,5450604.836858,683.6204818724393,,,,,,13189989.222833999
,13/03/2022,1647129600,7736663.508539965,1738002.5320883961,5486083.465674812,14960749.506303173,7736663.508539965,1738002.5320883961,5486083.465674812,1738002.5320883961,,,,,,13222746.974214777,7728934.573966,683.6204818724393,5480602.862812,683.6204818724393,,,,,,13209537.436778001
,15/03/2022,1647302400,7745553.327966,1741393.2896784833,5435624.253735,14922570.871379483,7745553.327966,1741393.2896784833,5435624.253735,1741393.2896784833,,,,,,13181177.581701,7745553.327966,683.6204818724393,5435624.253735,683.6204818724393,,,,,,13181177.581701
,16/03/2022,1647388800,7760470.424818111,1791126.6797347034,5427526.826290568,14979123.930843383,7760470.424818111,1791126.6797347034,5427526.826290568,1791126.6797347034,,,,,,13187997.25110868,7752717.707111,683.6204818724393,5422104.721569,683.6204818724393,,,,,,13174822.428679999
,17/03/2022,1647475200,7734170.0652065845,1922210.9071337436,5605194.847180928,15261575.819521256,7734170.0652065845,1922210.9071337436,5605194.847180928,1922210.9071337436,,,,,,13339364.912387513,7726443.621585,683.6204818724393,5599595.251929,683.6204818724393,,,,,,13326038.873514
,18/03/2022,1647561600,7734360.547658744,1913125.5909296589,5612812.858372719,15260298.996961122,7734360.547658744,1913125.5909296589,5612812.858372719,1913125.5909296589,,,,,,13347173.406031463,7726633.913745,683.6204818724393,5607205.65272,683.6204818724393,,,,,,13333839.566465
,19/03/2022,1647648000,7728183.367042793,2016509.5164032278,5606419.42791365,15351112.31135967,7728183.367042793,2016509.5164032278,5606419.42791365,2016509.5164032278,,,,,,13334602.794956442,7728554.337651,683.6204818724393,5606688.548964,683.6204818724393,,,,,,13335242.886615
,20/03/2022,1647734400,7728157.927884,2003759.9944163067,5710720.6871,15442638.609400306,7728157.927884,2003759.9944163067,5710720.6871,2003759.9944163067,,,,,,13438878.614984,7728157.927884,683.6204818724393,5710720.6871,683.6204818724393,,,,,,13438878.614984
,22/03/2022,1647907200,7751432.763265,2056132.1595325544,5691118.096306,15498683.019103553,7751432.763265,2056132.1595325544,5691118.096306,2056132.1595325544,,,,,,13442550.859570999,7751432.763265,683.6204818724393,5691118.096306,683.6204818724393,,,,,,13442550.859570999
,23/03/2022,1647993600,7751480.975592,2029860.6244141967,5691117.993504,15472459.593510197,7751480.975592,2029860.6244141967,5691117.993504,2029860.6244141967,,,,,,13442598.969096001,7751480.975592,683.6204818724393,5691117.993504,683.6204818724393,,,,,,13442598.969096001
,24/03/2022,1648080000,7729223.748804954,2117883.5976600917,5687550.801825957,15534658.148291003,7729223.748804954,2117883.5976600917,5687550.801825957,2117883.5976600917,,,,,,13416774.550630912,7734134.924482,683.6204818724393,5691164.691405,683.6204818724393,,,,,,13425299.615887001
,25/03/2022,1648166400,7734080.785537529,2143293.7709712903,5691124.620907786,15568499.177416606,7734080.785537529,2143293.7709712903,5691124.620907786,2143293.7709712903,,,,,,13425205.406445315,7734134.924482,683.6204818724393,5691164.459059,683.6204818724393,,,,,,13425299.383541
,26/03/2022,1648252800,7728355.322003317,2119086.7697081873,5687377.842844234,15534819.93455574,7728355.322003317,2119086.7697081873,5687377.842844234,2119086.7697081873,,,,,,13415733.16484755,7733575.485456,683.6204818724393,5691219.41595,683.6204818724393,,,,,,13424794.901406001
,27/03/2022,1648339200,7728762.320713943,2145043.839404884,5686882.102322975,15560688.262441803,7728762.320713943,2145043.839404884,5686882.102322975,2145043.839404884,,,,,,13415644.423036918,7734656.128684,683.6204818724393,5691218.811057,683.6204818724393,,,,,,13425874.939741
,01/04/2022,1648771200,7366733.369634639,2362195.8854716644,6023521.824051731,15752451.079158034,7366733.369634639,2362195.8854716644,6023521.824051731,2362195.8854716644,,,,,,13390255.19368637,7359373.995639,683.6204818724393,6017504.319732,683.6204818724393,,,,,,13376878.315371
,02/04/2022,1648857600,7359373.995639,2356214.2062552804,6017504.221944,15733092.42383828,7359373.995639,2356214.2062552804,6017504.221944,2356214.2062552804,,,,,,13376878.217583,7359373.995639,683.6204818724393,6017504.221944,683.6204818724393,,,,,,13376878.217583
,03/04/2022,1648944000,7359355.730709,2356309.9131227424,6017509.610349,15733175.254180744,7359355.730709,2356309.9131227424,6017509.610349,2356309.9131227424,,,,,,13376865.341058,7359355.730709,683.6204818724393,6017509.610349,683.6204818724393,,,,,,13376865.341058
,04/04/2022,1649030400,7355970.72706663,2383921.3443855704,6015476.113131524,15755368.184583724,7355970.72706663,2383921.3443855704,6015476.113131524,2383921.3443855704,,,,,,13371446.840198154,7359495.925615,683.6204818724393,6018358.907048,683.6204818724393,,,,,,13377854.832663
,05/04/2022,1649116800,7366842.60450138,2403260.9678177414,6258508.234575597,16028611.80689472,7366842.60450138,2403260.9678177414,6258508.234575597,2403260.9678177414,,,,,,13625350.839076977,7359483.12138,683.6204818724393,6252255.978597,683.6204818724393,,,,,,13611739.099977002
,06/04/2022,1649203200,7366925.893141814,2273749.0675270082,6258508.928937264,15899183.889606085,7366925.893141814,2273749.0675270082,6258508.928937264,2273749.0675270082,,,,,,13625434.822079077,7359566.326815,683.6204818724393,6252256.672265,683.6204818724393,,,,,,13611822.999079999
,07/04/2022,1649289600,7355806.838137552,2175369.2439807453,6246465.4815056315,15777641.56362393,7355806.838137552,2175369.2439807453,6246465.4815056315,2175369.2439807453,,,,,,13602272.319643185,7356630.780785,683.6204818724393,6247165.164004,683.6204818724393,,,,,,13603795.944789
,08/04/2022,1649376000,7363987.511665784,2214786.8009655103,6255131.894187176,15833906.206818469,7363987.511665784,2214786.8009655103,6255131.894187176,2214786.8009655103,,,,,,13619119.405852959,7356630.880785,683.6204818724393,6248883.011176,683.6204818724393,,,,,,13605513.891961
,09/04/2022,1649462400,7364014.038778395,2192767.385244399,6252730.025204662,15809511.449227456,7364014.038778395,2192767.385244399,6252730.025204662,2192767.385244399,,,,,,13616744.063983057,7356657.381397,683.6204818724393,6246483.541663,683.6204818724393,,,,,,13603140.92306
,10/04/2022,1649548800,7371319.706603232,2232902.74373513,6258980.422544298,15863202.87288266,7371319.706603232,2232902.74373513,6258980.422544298,2232902.74373513,,,,,,13630300.12914753,7356606.493616,683.6204818724393,6246487.447649,683.6204818724393,,,,,,13603093.941265
,11/04/2022,1649635200,7350912.480189941,2187858.990184555,6013720.041963542,15552491.512338037,7350912.480189941,2187858.990184555,6013720.041963542,2187858.990184555,,,,,,13364632.522153482,7356606.493616,683.6204818724393,6018378.266742,683.6204818724393,,,,,,13374984.760358
,12/04/2022,1649721600,7287841.044892962,2033750.4249560507,6034340.19938133,15355931.669230342,7287841.044892962,2033750.4249560507,6034340.19938133,2033750.4249560507,,,,,,13322181.244274292,7273294.455981,683.6204818724393,6022295.608165,683.6204818724393,,,,,,13295590.064146
,13/04/2022,1649808000,7290282.456617256,2074104.5420009808,5864070.604999506,15228457.603617743,7290282.456617256,2074104.5420009808,5864070.604999506,2074104.5420009808,,,,,,13154353.061616762,7275730.994628,683.6204818724393,5852365.873253,683.6204818724393,,,,,,13128096.867881
,14/04/2022,1649894400,7283068.017922696,2135056.1441647275,5853776.102146972,15271900.264234396,7283068.017922696,2135056.1441647275,5853776.102146972,2135056.1441647275,,,,,,13136844.120069668,7275792.225697,683.6204818724393,5847928.173973,683.6204818724393,,,,,,13123720.39967
,15/04/2022,1649980800,7289180.601668965,2067562.2939894616,5853736.035880732,15210478.93153916,7289180.601668965,2067562.2939894616,5853736.035880732,2067562.2939894616,,,,,,13142916.637549698,7281898.702966,683.6204818724393,5847888.147733,683.6204818724393,,,,,,13129786.850699
,16/04/2022,1650067200,7281177.801836645,2076674.9550128214,5847239.0321486015,15205091.788998067,7281177.801836645,2076674.9550128214,5847239.0321486015,2076674.9550128214,,,,,,13128416.833985247,7281986.102294,683.6204818724393,5847888.147733,683.6204818724393,,,,,,13129874.250027
,17/04/2022,1650153600,7289268.303639322,2096650.3454931339,5854682.226137744,15240600.875270199,7289268.303639322,2096650.3454931339,5854682.226137744,2096650.3454931339,,,,,,13143950.529777065,7281986.317322,683.6204818724393,5848833.392745,683.6204818724393,,,,,,13130819.710067
,18/04/2022,1650240000,7289651.2102944525,2047668.9379669735,5854166.681627263,15191486.82988869,7289651.2102944525,2047668.9379669735,5854166.681627263,2047668.9379669735,,,,,,13143817.891921716,7282368.841453,683.6204818724393,5848318.363264,683.6204818724393,,,,,,13130687.204717
,19/04/2022,1650326400,7291163.786251344,2099446.3532639924,5708387.047863499,15098997.187378835,7291163.786251344,2099446.3532639924,5708387.047863499,2099446.3532639924,,,,,,12999550.834114842,7283879.906345,683.6204818724393,5702684.3635,683.6204818724393,,,,,,12986564.269845
,20/04/2022,1650412800,7283652.672921,2106542.333865828,5702684.288497,15092879.295283828,7283652.672921,2109393.031275236,5702684.288497,2109393.031275236,,,,,,12986336.961418,7283652.672921,683.6204818724393,5702684.288497,683.6204818724393,,,,,,12986336.961418
