,Date,Timestamp,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma
,13/04/2022,1649808000,257796167.20011765,0,263426243.7004509,5630076.500333253,111132939.08970292,76121647.63618511,17870638.463660542,1.145190557334781e-14,49663637.70791539,926590.2985875318,2080714.004066154,,,,,,,,,,,,111132939.08970292,76121647.63618511,17870638.463660542,1.145190557334781e-14,49663637.70791539,926590.2985875318,5630076.500333253,2080714.004066154,,,,,,,,,5630076.500333253,111611876.125813,25133.22184845577,445.27024342,1.1424e-14,15372.443856787042,5614.564466267356,499395.9841770878,,,,,,,,,,,,111611876.125813,25133.22184845577,445.27024342,1.1424e-14,15372.443856787042,5614.564466267356,73570.12266366585,499395.9841770878,,,,,,,,,73570.12266366585
,14/04/2022,1649894400,304183371.9463978,0,310072309.8710688,5888937.924670978,111618333.14213005,109549865.35140161,28893672.687058914,1.1432450747530432e-14,50992249.11101722,1003869.1104554221,2125382.5443345527,,,,,,,,,,,,111618333.14213005,109549865.35140161,28893672.687058914,1.1432450747530432e-14,50992249.11101722,1003869.1104554221,5888937.924670978,2125382.5443345527,,,,,,,,,5888937.924670978,111611876.125813,35068.77624196577,700.52760112,1.1424e-14,15372.443856787042,5614.564466267356,499395.9841770878,,,,,,,,,,,,111611876.125813,35068.77624196577,700.52760112,1.1424e-14,15372.443856787042,5614.564466267356,73570.12266366585,499395.9841770878,,,,,,,,,73570.12266366585
,15/04/2022,1649980800,314982738.9629322,0,320636724.3688263,5653985.4058941165,111574752.22921924,106016161.466528,28002593.466503147,16791456.83908114,49565729.66245125,967392.4555984046,2064652.8435510579,,,,,,,,,,,,111574752.22921924,106016161.466528,28002593.466503147,16791456.83908114,49565729.66245125,967392.4555984046,5653985.4058941165,2064652.8435510579,,,,,,,,,5653985.4058941165,111611876.125813,35066.79624196577,700.52760112,16773672.19290044,15372.443856787042,5614.564466267356,499395.9841770878,,,,,,,,,,,,111611876.125813,35066.79624196577,700.52760112,16773672.19290044,15372.443856787042,5614.564466267356,73570.12266366585,499395.9841770878,,,,,,,,,73570.12266366585
,16/04/2022,1650067200,271739079.72788286,0,279093479.34198767,7354399.614104783,112800999.96387984,78419043.41062169,21506931.275786344,1.1449264648096022e-14,56104969.66087029,908077.898926094,1999057.5177985833,,,,,,,,,,,,112800999.96387984,78419043.41062169,21506931.275786344,1.1449264648096022e-14,56104969.66087029,908077.898926094,7354399.614104783,1999057.5177985833,,,,,,,,,7354399.614104783,112833032.740135,25814.793050671477,530.02172266,1.1424e-14,17256.973317125576,5151.811651890043,499395.9841770878,,,,,,,,,,,,112833032.740135,25814.793050671477,530.02172266,1.1424e-14,17256.973317125576,5151.811651890043,94996.17647363087,499395.9841770878,,,,,,,,,94996.17647363087
,17/04/2022,1650153600,272891985.2337987,0,280300625.2894327,7408640.05563405,112753670.89643525,79292698.24583082,21464263.11748745,1.1433906309731082e-14,56485831.98367475,890570.6401712862,2004950.350199095,,,,,,,,,,,,112753670.89643525,79292698.24583082,21464263.11748745,1.1433906309731082e-14,56485831.98367475,890570.6401712862,7408640.05563405,2004950.350199095,,,,,,,,,7408640.05563405,112833032.740135,25814.793050671477,530.02172266,1.1424e-14,17256.973317125576,5151.811651890043,499395.9841770878,,,,,,,,,,,,112833032.740135,25814.793050671477,530.02172266,1.1424e-14,17256.973317125576,5151.811651890043,94996.17647363087,499395.9841770878,,,,,,,,,94996.17647363087
,18/04/2022,1650240000,269144076.24441195,0,276337769.83493227,7193693.590520332,112815599.42122349,77272006.2138483,21109913.479656596,1.1421417899305585e-14,55131645.597146146,861901.4071595414,1953010.1253778846,,,,,,,,,,,,112815599.42122349,77272006.2138483,21109913.479656596,1.1421417899305585e-14,55131645.597146146,861901.4071595414,7193693.590520332,1953010.1253778846,,,,,,,,,7193693.590520332,112833032.740135,25814.299420569423,530.01242259,1.1424e-14,17256.973317125576,5151.811651890043,499395.9841770878,,,,,,,,,,,,112833032.740135,25814.299420569423,530.01242259,1.1424e-14,17256.973317125576,5151.811651890043,94996.17647363087,499395.9841770878,,,,,,,,,94996.17647363087
,19/04/2022,1650326400,272636018.5109085,0,280027293.0032072,7391274.492298709,112739427.47892222,78997081.90790778,21658257.99609477,1.1430427617420633e-14,56379018.85135352,869908.9677240232,1992323.3089061724,,,,,,,,,,,,112739427.47892222,78997081.90790778,21658257.99609477,1.1430427617420633e-14,56379018.85135352,869908.9677240232,7391274.492298709,1992323.3089061724,,,,,,,,,7391274.492298709,112833032.740135,25814.22362056942,530.01242259,1.1424e-14,17256.973317125576,5151.811651890043,499395.9841770878,,,,,,,,,,,,112833032.740135,25814.22362056942,530.01242259,1.1424e-14,17256.973317125576,5151.811651890043,94996.17647363087,499395.9841770878,,,,,,,,,94996.17647363087
,20/04/2022,1650412800,274982309.08207625,0,282609557.7874284,7627248.705352101,112766554.27664073,80095737.28218457,21976524.77111161,1.1427360520269374e-14,57143830.0610782,943925.4724981164,2055737.218563019,,,,,,,,,,,,112766554.27664073,80095737.28218457,21976524.77111161,1.1427360520269374e-14,57143830.0610782,943925.4724981164,7627248.705352101,2055737.218563019,,,,,,,,,7627248.705352101,112833032.740135,25814.22362056942,530.01242259,1.1424e-14,17256.973317125576,5151.811651890043,499395.9841770878,,,,,,,,,,,,112833032.740135,25814.22362056942,530.01242259,1.1424e-14,17256.973317125576,5151.811651890043,94996.17647363087,499395.9841770878,,,,,,,,,94996.17647363087
,21/04/2022,1650499200,274074368.31700987,0,281505768.61580735,7431400.298797508,112697854.74945892,79476534.36654596,21940645.405487373,1.1410944278044733e-14,56684574.768451095,959859.2157600662,2314899.8113064757,,,,,,,,,,,,112697854.74945892,79476534.36654596,21940645.405487373,1.1410944278044733e-14,56684574.768451095,959859.2157600662,7431400.298797508,2314899.8113064757,,,,,,,,,7431400.298797508,112833032.740135,25814.22362056942,530.01242259,1.1424e-14,17256.973317125576,5151.811651890043,499395.9841770878,,,,,,,,,,,,112833032.740135,25814.22362056942,530.01242259,1.1424e-14,17256.973317125576,5151.811651890043,94996.17647363087,499395.9841770878,,,,,,,,,94996.17647363087
,22/04/2022,1650585600,269291198.38439286,0,276426363.0295811,7135164.645188289,112703498.4039003,77003182.32840176,21441917.509381264,1.1423583422725718e-14,55025633.744324565,896458.9033529374,2220507.4950320385,,,,,,,,,,,,112703498.4039003,77003182.32840176,21441917.509381264,1.1423583422725718e-14,55025633.744324565,896458.9033529374,7135164.645188289,2220507.4950320385,,,,,,,,,7135164.645188289,112833032.740135,25814.22362056942,530.01242259,1.1424e-14,17256.973317125576,5151.811651890043,499395.9841770878,,,,,,,,,,,,112833032.740135,25814.22362056942,530.01242259,1.1424e-14,17256.973317125576,5151.811651890043,94996.17647363087,499395.9841770878,,,,,,,,,94996.17647363087
